Student{id=572949327, name='Асия', surname='Гришина', age=26, sex='F', course=2, specialization='Биохимия'}
Student{id=262594663, name='Никифор', surname='Свиридов', age=24, sex='M', course=4, specialization='Радиофизика'}
Student{id=289063094, name='Тамара', surname='Русакова', age=18, sex='F', course=4, specialization='Медицинская физика'}
Student{id=305330365, name='Самсон', surname='Жаров', age=23, sex='M', course=2, specialization='Прикладная математика и информатика'}
Student{id=486124406, name='Амина', surname='Севастьянова', age=21, sex='F', course=5, specialization='Химия'}
Student{id=207697627, name='Инокентий', surname='Худяков', age=21, sex='M', course=5, specialization='Физика'}
Student{id=593292170, name='Амира', surname='Петровскийа', age=23, sex='F', course=5, specialization='﻿География'}
Student{id=221214281, name='Зарина', surname='Авдеева', age=26, sex='F', course=4, specialization='Прикладная математика и информатика'}
Student{id=148382157, name='Искра', surname='Лосева', age=23, sex='F', course=4, specialization='﻿География'}
Student{id=859084774, name='Георгий', surname='Панов', age=17, sex='M', course=3, specialization='﻿География'}
Student{id=123166603, name='Тимофей', surname='Голиков', age=19, sex='M', course=3, specialization='Прикладная физика'}
Student{id=440559226, name='Мальвина', surname='Павлова', age=23, sex='F', course=3, specialization='Прикладная физика'}
Student{id=608840363, name='Мариан', surname='Субботин', age=17, sex='M', course=4, specialization='Физика'}
Student{id=512737798, name='Ревекка', surname='Медведева', age=16, sex='F', course=1, specialization='Гидрометеорология'}
Student{id=226970141, name='Фанис', surname='Евсеев', age=16, sex='M', course=1, specialization='Медицинская физика'}
Student{id=540911712, name='Самуил', surname='Старостин', age=25, sex='M', course=1, specialization='Гидрометеорология'}
Student{id=823799033, name='Аглая', surname='Самсонова', age=20, sex='F', course=1, specialization='Природоохранная деятельность'}
Student{id=557384358, name='Джереми', surname='Кочергин', age=19, sex='M', course=4, specialization='Математика и компьютерные науки'}
Student{id=357735981, name='Неонила', surname='Григорьева', age=17, sex='F', course=3, specialization='Природоохранная деятельность'}
Student{id=351871423, name='Эдда', surname='Булгакова', age=24, sex='F', course=4, specialization='Математика и компьютерные науки'}
Student{id=754433502, name='Нателла', surname='Сухарева', age=21, sex='F', course=3, specialization='﻿География'}
Student{id=911741085, name='Анжела', surname='Кукушкина', age=19, sex='F', course=1, specialization='Природоохранная деятельность'}
Student{id=623704423, name='Дженнифер', surname='Овчинникова', age=24, sex='F', course=1, specialization='Медицинская физика'}
Student{id=825190799, name='Юния', surname='Большакова', age=17, sex='F', course=1, specialization='Медицинская физика'}
Student{id=620363100, name='Наима', surname='Корчагина', age=24, sex='F', course=4, specialization='Физика'}
Student{id=984214479, name='Аглая', surname='Терехова', age=17, sex='F', course=5, specialization='Медицинская физика'}
Student{id=336191767, name='Тарас', surname='Латышев', age=22, sex='M', course=1, specialization='Механика и математическое моделирование'}
Student{id=790256348, name='Юлий', surname='Ежов', age=20, sex='M', course=3, specialization='Прикладная физика'}
Student{id=911072944, name='Боголюб', surname='Баранов', age=20, sex='M', course=5, specialization='Радиофизика'}
Student{id=586015032, name='Василина', surname='Трифонова', age=20, sex='F', course=5, specialization='Химия'}
Student{id=769768756, name='Натан', surname='Одинцов', age=26, sex='M', course=3, specialization='Биохимия'}
Student{id=113753997, name='Тигрий', surname='Новиков', age=22, sex='M', course=2, specialization='Медицинская физика'}
Student{id=713551448, name='Арабелла', surname='Зубова', age=16, sex='F', course=4, specialization='﻿География'}
Student{id=650374243, name='Ким', surname='Беляков', age=17, sex='M', course=2, specialization='Биохимия'}
